,index,city,Country,Humidity,coord.lon,coord.lat,Hotel Name,Hotel Address
0,1,Vaini,TO,88.0,-175.2,-21.2,,
1,2,Lata,PT,36.0,-8.3327,40.1629,,
2,3,Butaritari,KI,77.0,172.7902,3.0707,,
3,4,Saint-Pierre,RE,67.0,55.4781,-21.3393,,
4,5,Bluff,NZ,95.0,168.3333,-46.6,,
6,7,Avarua,CK,73.0,-159.775,-21.2078,,
7,8,Preobrazheniye,RU,93.0,133.9064,42.9019,,
8,9,Hamilton,US,79.0,-84.5333,39.1834,,
