weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,wind.gust,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,rain.1h,main.sea_level,main.grnd_level,message
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627737568.0,10800.0,293842.0,Kiryat Gat,200,34.7642,31.61,305.4,304.13,303.2,308.93,1004.0,29.0,5.76,313.0,4.54,0.0,2.0,2009987.0,IL,1627700174.0,1627749495.0,,1004.0,989.0,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1627737568.0,19800.0,1242110.0,Kalmunai,200,81.8167,7.4167,301.92,306.28,301.92,301.92,1008.0,75.0,5.51,147.0,7.33,73.0,,,LK,1627691139.0,1627735946.0,,1008.0,1007.0,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627737568.0,-18000.0,3529654.0,Dzilam González,200,-88.9333,21.2833,298.37,299.4,298.37,298.37,1017.0,94.0,1.79,92.0,4.66,87.0,,,MX,1627730933.0,1627778110.0,,1017.0,1016.0,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1627737568.0,7200.0,3145148.0,Myre,200,15.9492,69.1036,282.12,279.82,282.12,283.16,1000.0,73.0,4.13,10.0,4.18,47.0,1.0,1603.0,NO,1627692184.0,1627766516.0,,1000.0,999.0,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627737569.0,7200.0,2685750.0,Östersund,200,14.6357,63.1792,287.4,286.29,287.4,288.49,998.0,54.0,3.6,280.0,,75.0,1.0,1774.0,SE,1627697688.0,1627761643.0,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627737569.0,10800.0,703317.0,Lazurne,200,32.5295,46.084,305.07,307.61,305.07,305.4,1010.0,51.0,3.88,257.0,3.77,1.0,2.0,2034748.0,UA,1627698645.0,1627752097.0,,1010.0,1010.0,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627737569.0,-14400.0,3922037.0,Caranavi,200,-67.55,-15.8167,287.86,287.34,287.86,287.86,1022.0,75.0,0.14,325.0,0.42,96.0,,,BO,1627728851.0,1627769928.0,,1022.0,888.0,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627737347.0,-10800.0,3430863.0,Mar del Plata,200,-57.5575,-38.0023,279.84,279.84,277.16,283.71,1024.0,68.0,0.45,234.0,4.47,0.0,2.0,264934.0,AR,1627728684.0,1627765299.0,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627737569.0,18000.0,1181611.0,Chaman,200,66.4512,30.9236,307.3,304.75,307.3,307.3,1000.0,11.0,7.95,253.0,7.31,0.0,,,PK,1627692644.0,1627741816.0,,1000.0,864.0,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627737569.0,10800.0,103630.0,Najrān,200,44.1277,17.4924,310.51,310.36,310.51,310.51,1005.0,26.0,11.95,328.0,10.92,90.0,1.0,7421.0,SA,1627699335.0,1627745840.0,,1005.0,870.0,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1627737569.0,0.0,3372707.0,Ribeira Grande,200,-28.7,38.5167,297.37,297.88,297.37,297.37,1031.0,78.0,3.09,200.0,,20.0,1.0,6883.0,PT,1627714548.0,1627765584.0,,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1627737570.0,-3600.0,3374210.0,São Filipe,200,-24.4956,14.8961,298.09,298.83,298.09,298.09,1015.0,84.0,4.17,8.0,4.1,26.0,,,CV,1627716035.0,1627762079.0,,1015.0,1004.0,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627737570.0,-14400.0,3628473.0,San Cristobal,200,-72.225,7.7669,297.25,297.91,297.25,297.25,1018.0,84.0,2.44,132.0,4.13,76.0,1.0,8587.0,VE,1627728084.0,1627772939.0,,1018.0,916.0,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627737570.0,43200.0,2122090.0,Pevek,200,170.3133,69.7008,274.07,272.54,274.07,274.07,1006.0,82.0,1.44,99.0,1.61,100.0,,,RU,1627740798.0,1627816605.0,,1006.0,1000.0,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1627737570.0,-21600.0,5486795.0,Raton,200,-104.4391,36.9034,292.59,292.21,288.74,293.18,1026.0,62.0,3.09,40.0,,20.0,2.0,2002857.0,US,1627732953.0,1627783533.0,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627737570.0,25200.0,1503037.0,Kodinsk,200,99.1844,58.6881,291.68,291.16,291.68,291.68,1015.0,60.0,1.34,284.0,1.4,100.0,,,RU,1627679392.0,1627739357.0,,1015.0,996.0,
"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",stations,7000.0,1627737570.0,0.0,3412093.0,Vestmannaeyjar,200,-20.2734,63.4427,285.7,285.28,285.7,285.7,1015.0,87.0,8.23,120.0,,90.0,1.0,93.0,IS,1627705935.0,1627770152.0,,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1627737571.0,10800.0,696280.0,Primorskoye,200,37.6927,47.1744,300.85,307.59,300.85,300.85,1009.0,100.0,2.37,292.0,4.04,38.0,2.0,2029895.0,UA,1627697201.0,1627751063.0,,1009.0,1008.0,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1627737548.0,36000.0,2174003.0,Brisbane,200,153.0281,-27.4679,287.42,287.04,285.46,289.74,1018.0,82.0,0.45,303.0,0.45,0.0,2.0,2005393.0,AU,1627676991.0,1627715913.0,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627737571.0,28800.0,1727792.0,Balud,200,123.6953,10.1476,301.28,305.1,301.28,301.28,1010.0,77.0,3.42,250.0,6.23,100.0,,,PH,1627680864.0,1627726120.0,,1010.0,1009.0,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1627737422.0,16200.0,1160571.0,Khāsh,200,61.2158,28.2211,308.49,305.82,308.49,308.49,1000.0,11.0,5.09,4.0,6.59,43.0,,,IR,1627694197.0,1627742776.0,,1000.0,858.0,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627737571.0,10800.0,186180.0,Moyale,200,39.0584,3.5167,298.95,298.53,298.95,298.95,1014.0,36.0,8.68,177.0,9.21,96.0,,,KE,1627701715.0,1627745893.0,,1014.0,898.0,
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,10000.0,1627737571.0,39600.0,2109528.0,Buala,200,159.5921,-8.145,299.13,299.13,299.13,299.13,1012.0,86.0,3.86,136.0,5.07,100.0,,,SB,1627760105.0,1627802444.0,0.75,1012.0,1009.0,
